                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.92116,                 2.1618,                 1.2415,                0.50917,                 0.7079,                0.64378,                0.47317,                0.99576,                  3.239,                 1.2309,             0.00032778,             0.00032778,             0.00032778
                      2,                0.89259,                 1.3808,                 1.2362,                0.42947,                0.69194,                0.63559,                0.48043,                0.96557,                 1.6824,                  1.315,             0.00065457,             0.00065457,             0.00065457
                      3,                0.87054,                 1.2653,                  1.223,                0.81623,                0.57083,                 0.7618,                0.52222,                 1.2285,                 2.1364,                 1.6227,             0.00097475,             0.00097475,             0.00097475
                      4,                0.95578,                 1.2987,                 1.2787,                0.69138,                0.77008,                 0.6682,                0.43722,                 1.2581,                 1.7455,                 1.6372,              0.0009703,              0.0009703,              0.0009703
                      5,                0.91131,                 1.2264,                 1.2396,                0.62604,                0.58706,                0.63143,                0.43096,                 1.1118,                  1.511,                 1.4713,              0.0009604,              0.0009604,              0.0009604
                      6,                0.90563,                 1.1641,                 1.2501,                0.60711,                0.56336,                0.65322,                0.43269,                 1.1901,                 1.8635,                 1.5508,              0.0009505,              0.0009505,              0.0009505
                      7,                0.90367,                 1.2043,                 1.2408,                0.79633,                0.74559,                0.83395,                0.52356,                 1.1354,                 1.2588,                 1.5237,              0.0009406,              0.0009406,              0.0009406
                      8,                0.84609,                 1.0996,                 1.2106,                0.80725,                0.68605,                0.76998,                0.61894,                0.97337,                 1.3335,                 1.4123,              0.0009307,              0.0009307,              0.0009307
                      9,                0.84338,                  1.077,                 1.2308,                0.75899,                0.60103,                0.66529,                0.53739,                0.93647,                 1.6003,                 1.3639,              0.0009208,              0.0009208,              0.0009208
                     10,                0.78248,                0.98028,                 1.1624,                0.78667,                0.71172,                0.82149,                0.64666,                0.92224,                 1.0353,                 1.3538,              0.0009109,              0.0009109,              0.0009109
                     11,                0.77192,                0.95651,                 1.1669,                0.87099,                0.79189,                 0.8578,                0.63211,                 1.0908,                0.97634,                 1.4887,               0.000901,               0.000901,               0.000901
                     12,                0.76922,                0.96031,                 1.1711,                0.81882,                0.86022,                0.83169,                0.63211,                0.90198,                  1.026,                 1.3535,              0.0008911,              0.0008911,              0.0008911
                     13,                0.76097,                0.93944,                 1.1536,                0.77747,                0.73694,                0.78234,                0.64413,                0.92695,                  1.068,                 1.3367,              0.0008812,              0.0008812,              0.0008812
                     14,                0.74522,                0.85134,                 1.1479,                0.75908,                0.80367,                0.83412,                 0.6674,                 1.0243,                 1.0527,                 1.3878,              0.0008713,              0.0008713,              0.0008713
                     15,                0.73287,                0.85634,                  1.151,                0.87606,                0.81176,                0.86767,                0.68011,                0.89686,                0.82666,                 1.3787,              0.0008614,              0.0008614,              0.0008614
                     16,                0.73635,                0.85304,                 1.1531,                0.81913,                0.82146,                0.82744,                0.67127,                  1.003,                 1.0051,                 1.4373,              0.0008515,              0.0008515,              0.0008515
                     17,                0.72338,                0.85249,                 1.1467,                0.89713,                0.78775,                0.88222,                0.71443,                 0.8739,                0.84605,                 1.3224,              0.0008416,              0.0008416,              0.0008416
                     18,                0.70433,                0.81791,                 1.1312,                0.88138,                 0.7572,                0.83542,                0.67551,                0.85641,                0.92853,                 1.3293,              0.0008317,              0.0008317,              0.0008317
                     19,                0.69979,                0.80366,                 1.1318,                0.83341,                  0.789,                0.83851,                0.69781,                0.81048,                0.77541,                 1.3073,              0.0008218,              0.0008218,              0.0008218
                     20,                0.68903,                0.76008,                 1.1236,                0.83143,                0.78757,                0.83272,                0.66256,                0.83313,                0.99381,                 1.2445,              0.0008119,              0.0008119,              0.0008119
                     21,                0.67284,                0.76314,                 1.1203,                0.84681,                0.79719,                 0.8475,                0.69951,                0.85861,                0.79025,                 1.2946,               0.000802,               0.000802,               0.000802
                     22,                0.67238,                0.74549,                 1.1067,                0.82681,                0.74178,                0.80396,                0.68266,                0.84912,                 0.9643,                 1.3038,              0.0007921,              0.0007921,              0.0007921
                     23,                0.67612,                0.71416,                 1.1185,                 0.9246,                0.83744,                0.86842,                0.71052,                0.86121,                0.75836,                 1.3335,              0.0007822,              0.0007822,              0.0007822
                     24,                0.67334,                0.75876,                 1.1143,                0.89252,                0.80613,                0.83992,                  0.663,                 0.8221,                 0.8837,                 1.2914,              0.0007723,              0.0007723,              0.0007723
                     25,                0.66717,                0.73813,                 1.1146,                0.79173,                0.87443,                0.85352,                0.67584,                0.86303,                0.82337,                  1.325,              0.0007624,              0.0007624,              0.0007624
                     26,                0.63726,                0.72673,                 1.0962,                0.77665,                0.81311,                0.87193,                0.70845,                0.82324,                0.81026,                 1.2893,              0.0007525,              0.0007525,              0.0007525
                     27,                0.65236,                0.71459,                 1.0996,                0.89228,                0.82165,                0.88283,                0.71272,                0.85769,                0.72937,                 1.3397,              0.0007426,              0.0007426,              0.0007426
                     28,                0.64876,                0.69375,                 1.1145,                0.85927,                0.86621,                0.87265,                0.69472,                0.77204,                0.90758,                  1.237,              0.0007327,              0.0007327,              0.0007327
                     29,                0.62164,                0.65069,                 1.0859,                0.88976,                0.90791,                0.92377,                0.74543,                0.87832,                0.68373,                 1.3675,              0.0007228,              0.0007228,              0.0007228
                     30,                0.64307,                0.65124,                 1.0964,                0.92707,                0.85184,                 0.8943,                0.73822,                 0.7316,                0.70075,                 1.1915,              0.0007129,              0.0007129,              0.0007129
                     31,                 0.6376,                0.66735,                 1.1012,                0.93162,                0.86118,                 0.9092,                0.76554,                0.76344,                0.62999,                 1.2478,               0.000703,               0.000703,               0.000703
                     32,                0.63331,                0.66748,                 1.0948,                0.82438,                0.85493,                0.83938,                0.69146,                0.87507,                0.81546,                 1.3074,              0.0006931,              0.0006931,              0.0006931
                     33,                0.61258,                0.65586,                 1.0817,                0.94402,                0.82238,                0.87219,                0.73061,                0.77952,                0.73857,                 1.2562,              0.0006832,              0.0006832,              0.0006832
                     34,                0.62783,                0.65405,                 1.0867,                0.83561,                0.84684,                0.87773,                0.73865,                0.79089,                0.69807,                 1.3004,              0.0006733,              0.0006733,              0.0006733
                     35,                0.60803,                0.62999,                  1.077,                0.90797,                0.86301,                0.88077,                0.75149,                0.81856,                0.74022,                 1.2631,              0.0006634,              0.0006634,              0.0006634
                     36,                0.57871,                 0.6145,                 1.0642,                0.91093,                0.85805,                0.87916,                0.73979,                0.66856,                0.71296,                 1.1529,              0.0006535,              0.0006535,              0.0006535
                     37,                0.58813,                0.61432,                 1.0635,                0.91283,                0.86588,                 0.8892,                 0.7559,                0.70572,                0.74124,                 1.1816,              0.0006436,              0.0006436,              0.0006436
                     38,                0.61284,                0.62705,                 1.0816,                 0.8841,                 0.8023,                0.85583,                0.73905,                0.73732,                0.73794,                 1.2125,              0.0006337,              0.0006337,              0.0006337
                     39,                0.59985,                0.60104,                 1.0799,                0.84945,                0.78825,                  0.835,                0.72111,                0.71768,                0.81987,                 1.1841,              0.0006238,              0.0006238,              0.0006238
                     40,                0.59078,                0.58107,                 1.0664,                0.76675,                0.80107,                0.84078,                 0.7056,                0.81567,                 0.8313,                 1.2515,              0.0006139,              0.0006139,              0.0006139
                     41,                0.57648,                0.56899,                 1.0622,                 0.8331,                0.84339,                0.84615,                0.71062,                0.70256,                0.93694,                 1.2145,               0.000604,               0.000604,               0.000604
                     42,                0.57939,                0.56926,                 1.0577,                0.85615,                0.85762,                 0.8744,                0.76798,                0.80268,                0.72842,                 1.2745,              0.0005941,              0.0005941,              0.0005941
                     43,                0.57464,                0.57462,                 1.0512,                0.92005,                 0.7959,                0.86225,                0.75203,                0.75338,                0.82218,                 1.2395,              0.0005842,              0.0005842,              0.0005842
                     44,                0.56897,                0.57767,                 1.0592,                0.81267,                0.80261,                0.82487,                0.73066,                0.69788,                0.95477,                 1.2182,              0.0005743,              0.0005743,              0.0005743
                     45,                0.56849,                0.57798,                 1.0517,                0.89675,                0.83355,                0.85422,                0.73097,                0.74123,                0.72326,                 1.2418,              0.0005644,              0.0005644,              0.0005644
                     46,                0.56149,                0.53578,                 1.0427,                0.91382,                0.83602,                0.89317,                0.79047,                0.67963,                0.68237,                 1.1407,              0.0005545,              0.0005545,              0.0005545
                     47,                0.57867,                0.56961,                 1.0682,                0.85271,                0.83864,                0.88297,                0.75679,                 0.7484,                0.72912,                 1.2058,              0.0005446,              0.0005446,              0.0005446
                     48,                0.56951,                0.53443,                 1.0614,                0.90933,                0.82747,                0.88534,                0.77582,                0.63823,                 0.7311,                 1.1529,              0.0005347,              0.0005347,              0.0005347
                     49,                0.55865,                0.53336,                 1.0511,                0.89347,                0.81764,                0.88967,                0.75742,                0.83624,                0.76983,                 1.3355,              0.0005248,              0.0005248,              0.0005248
                     50,                0.55112,                0.50763,                 1.0456,                0.89075,                0.84822,                0.91027,                0.76559,                0.76662,                0.70455,                 1.2693,              0.0005149,              0.0005149,              0.0005149
                     51,                 0.5196,                0.49086,                 1.0293,                0.92681,                0.87268,                0.91098,                0.78656,                0.69494,                0.61922,                 1.1657,               0.000505,               0.000505,               0.000505
                     52,                0.52592,                0.49865,                 1.0345,                0.92118,                 0.8885,                0.92106,                0.78818,                0.69439,                 0.5894,                 1.1882,              0.0004951,              0.0004951,              0.0004951
                     53,                0.53911,                0.51896,                  1.043,                0.93583,                0.89222,                 0.9265,                0.79835,                0.70766,                0.55777,                 1.1759,              0.0004852,              0.0004852,              0.0004852
                     54,                0.55671,                 0.5224,                 1.0555,                0.92567,                0.84684,                0.91542,                0.79628,                0.67859,                0.59527,                 1.1753,              0.0004753,              0.0004753,              0.0004753
                     55,                0.52364,                0.49261,                 1.0356,                0.90323,                0.84817,                 0.9034,                0.78813,                0.75032,                0.67293,                  1.257,              0.0004654,              0.0004654,              0.0004654
                     56,                0.52294,                0.48692,                  1.036,                 0.9145,                 0.8212,                0.88108,                0.77506,                0.72508,                0.69508,                 1.2195,              0.0004555,              0.0004555,              0.0004555
                     57,                 0.5401,                0.52397,                 1.0481,                0.92397,                0.87958,                0.92879,                0.78423,                0.83542,                0.61597,                  1.315,              0.0004456,              0.0004456,              0.0004456
                     58,                0.53187,                 0.4967,                 1.0479,                0.94492,                0.87151,                0.93121,                0.80231,                0.71967,                 0.5206,                 1.2007,              0.0004357,              0.0004357,              0.0004357
                     59,                0.51825,                0.49011,                 1.0393,                0.89947,                0.85988,                0.92046,                0.81019,                0.66635,                0.59048,                 1.1635,              0.0004258,              0.0004258,              0.0004258
                     60,                0.51545,                0.46957,                 1.0333,                0.89409,                0.91353,                0.92636,                  0.819,                0.69943,                0.55017,                 1.2156,              0.0004159,              0.0004159,              0.0004159
                     61,                0.50356,                0.46818,                 1.0181,                0.89028,                0.88434,                0.91757,                0.79077,                0.75337,                0.63363,                 1.2365,               0.000406,               0.000406,               0.000406
                     62,                0.50187,                0.46424,                  1.023,                0.92884,                0.87566,                0.91654,                0.79648,                0.64659,                0.65729,                 1.1688,              0.0003961,              0.0003961,              0.0003961
                     63,                0.50896,                0.45209,                 1.0181,                 0.9035,                0.86494,                0.89661,                0.81224,                0.64473,                0.60002,                 1.1627,              0.0003862,              0.0003862,              0.0003862
                     64,                 0.5011,                0.43485,                 1.0238,                0.91261,                0.82173,                0.88728,                0.77459,                0.75775,                0.67831,                 1.2863,              0.0003763,              0.0003763,              0.0003763
                     65,                0.49572,                0.44991,                 1.0154,                0.94149,                0.86351,                0.90714,                 0.8057,                0.63249,                0.61747,                 1.1567,              0.0003664,              0.0003664,              0.0003664
                     66,                 0.4999,                0.45862,                 1.0249,                0.88084,                0.89638,                0.92137,                0.80909,                0.71117,                0.58811,                 1.2251,              0.0003565,              0.0003565,              0.0003565
                     67,                0.49028,                 0.4444,                 1.0141,                0.93077,                0.83607,                0.90586,                0.80615,                0.66857,                0.60592,                 1.1965,              0.0003466,              0.0003466,              0.0003466
                     68,                0.49305,                0.45133,                 1.0246,                0.94515,                0.82898,                0.91755,                0.80989,                0.67613,                0.60852,                 1.1873,              0.0003367,              0.0003367,              0.0003367
                     69,                0.49082,                0.44181,                 1.0175,                0.87814,                0.89263,                0.92236,                0.81799,                0.60113,                0.56574,                 1.1037,              0.0003268,              0.0003268,              0.0003268
                     70,                0.47305,                0.43119,                 1.0099,                0.90205,                 0.8204,                0.89564,                0.80672,                0.63328,                0.60415,                 1.1347,              0.0003169,              0.0003169,              0.0003169
                     71,                0.48029,                0.43537,                 1.0094,                0.89677,                0.79799,                0.87558,                0.78232,                0.69683,                0.65538,                  1.172,               0.000307,               0.000307,               0.000307
                     72,                0.48092,                0.41695,                 1.0126,                 0.8978,                0.81011,                0.88628,                0.78217,                0.74603,                0.67655,                 1.2383,              0.0002971,              0.0002971,              0.0002971
                     73,                0.45901,                0.41772,                 0.9963,                 0.8948,                0.82133,                0.89651,                0.80178,                0.65137,                0.60236,                 1.1599,              0.0002872,              0.0002872,              0.0002872
                     74,                0.47322,                0.42122,                 1.0126,                0.90767,                0.78442,                0.84052,                0.74968,                0.68357,                0.76334,                 1.1793,              0.0002773,              0.0002773,              0.0002773
                     75,                0.46625,                0.41533,                 1.0118,                0.89015,                0.88948,                 0.8974,                0.78895,                0.66586,                0.68827,                 1.1698,              0.0002674,              0.0002674,              0.0002674
                     76,                0.47124,                0.41217,                 1.0067,                0.94132,                0.82011,                0.90771,                0.81924,                0.66243,                0.64233,                  1.171,              0.0002575,              0.0002575,              0.0002575
                     77,                 0.4687,                0.40796,                 1.0114,                 0.8791,                0.86245,                0.91249,                0.82527,                0.67221,                0.63067,                 1.1679,              0.0002476,              0.0002476,              0.0002476
                     78,                0.45906,                0.38841,                  1.001,                0.92406,                0.83635,                0.90941,                0.81176,                 0.7451,                 0.6581,                 1.2367,              0.0002377,              0.0002377,              0.0002377
                     79,                0.45242,                0.40878,                 1.0033,                0.89833,                0.82603,                0.89686,                0.79975,                0.71057,                0.68654,                 1.2082,              0.0002278,              0.0002278,              0.0002278
                     80,                0.46454,                0.38457,                  1.008,                0.88165,                0.81694,                0.87612,                0.76451,                0.75608,                0.74725,                 1.2558,              0.0002179,              0.0002179,              0.0002179
                     81,                0.44913,                0.38808,                0.99645,                0.92394,                 0.8336,                0.86686,                0.77883,                0.71978,                0.71558,                 1.2175,               0.000208,               0.000208,               0.000208
                     82,                0.47222,                0.38714,                 1.0108,                0.92803,                0.83363,                0.89645,                0.81373,                0.62832,                0.62303,                 1.1239,              0.0001981,              0.0001981,              0.0001981
                     83,                0.44277,                0.36786,                 0.9967,                0.90465,                0.85401,                0.90213,                0.80946,                0.66602,                0.63445,                 1.1592,              0.0001882,              0.0001882,              0.0001882
                     84,                0.43262,                0.36901,                0.99491,                0.88032,                0.85858,                0.89421,                0.79955,                 0.6239,                0.63031,                 1.1141,              0.0001783,              0.0001783,              0.0001783
                     85,                0.45037,                0.38632,                 1.0031,                0.82632,                0.89181,                0.88411,                0.80095,                0.66943,                0.64762,                 1.1597,              0.0001684,              0.0001684,              0.0001684
                     86,                0.43639,                0.35574,                0.98689,                0.86585,                0.88215,                0.90796,                0.81354,                0.65116,                 0.6173,                 1.1481,              0.0001585,              0.0001585,              0.0001585
                     87,                0.41317,                0.36943,                0.98309,                0.87674,                0.86736,                0.91009,                0.80861,                0.62838,                0.62738,                 1.1385,              0.0001486,              0.0001486,              0.0001486
                     88,                0.42209,                0.34846,                0.98756,                0.82612,                0.91548,                0.91173,                0.80915,                0.64035,                0.61747,                 1.1391,              0.0001387,              0.0001387,              0.0001387
                     89,                0.41923,                0.35802,                0.98505,                0.88964,                0.88638,                0.92187,                0.83076,                0.66661,                0.58593,                  1.185,              0.0001288,              0.0001288,              0.0001288
                     90,                0.42699,                0.36602,                0.98838,                0.88911,                0.88291,                0.91691,                0.83401,                0.63369,                0.59898,                 1.1724,              0.0001189,              0.0001189,              0.0001189
                     91,                0.31647,                 0.2682,                0.94221,                0.84685,                0.90073,                0.90601,                0.80391,                0.66854,                0.60586,                 1.1919,               0.000109,               0.000109,               0.000109
                     92,                0.29662,                0.22288,                 0.9183,                0.91757,                0.83942,                0.88418,                0.79822,                0.59193,                 0.6155,                 1.1286,               9.91e-05,               9.91e-05,               9.91e-05
                     93,                0.29565,                0.22359,                0.92191,                 0.9233,                0.83742,                0.88193,                0.78807,                0.64014,                0.61553,                 1.1661,               8.92e-05,               8.92e-05,               8.92e-05
                     94,                0.29102,                0.21558,                0.93187,                0.88323,                0.86471,                0.90162,                0.80068,                0.65939,                0.61774,                 1.1968,               7.93e-05,               7.93e-05,               7.93e-05
                     95,                0.27217,                0.20479,                0.90259,                 0.9039,                0.87549,                0.90591,                0.81117,                 0.6334,                0.60348,                 1.1719,               6.94e-05,               6.94e-05,               6.94e-05
                     96,                0.26993,                0.19909,                0.89908,                0.93986,                0.83518,                0.91017,                0.82679,                0.62559,                 0.6067,                 1.1628,               5.95e-05,               5.95e-05,               5.95e-05
                     97,                0.26932,                0.20532,                0.90601,                0.88436,                0.88857,                0.92703,                0.83103,                 0.6257,                0.59731,                 1.1492,               4.96e-05,               4.96e-05,               4.96e-05
                     98,                0.26781,                0.20655,                0.91365,                0.89367,                0.87659,                0.92334,                0.82628,                0.63241,                0.58553,                 1.1489,               3.97e-05,               3.97e-05,               3.97e-05
                     99,                0.26953,                0.20358,                0.90687,                 0.9135,                0.86212,                0.92506,                0.83034,                0.64856,                0.57732,                 1.1717,               2.98e-05,               2.98e-05,               2.98e-05
                    100,                0.26687,                0.19652,                 0.9179,                0.91302,                0.86471,                0.92491,                0.82686,                0.63748,                0.57242,                 1.1619,               1.99e-05,               1.99e-05,               1.99e-05
